source_document,source_page,source_citation,measurement_name,body_region,measurement_method_note,population,country,sex,age_group,sample_size,stat_type,percentile,value_cm,value_mm,value_in,data_quality_note
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,mean,,10.8,108.0,4.252,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,std_dev,,0.72,7.2,0.2835,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,5,9.62,96.2,3.7874,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,50,10.8,108.0,4.252,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,95,11.93,119.3,4.6969,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,mean,,8.77,87.7,3.4528,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,std_dev,,0.51,5.1,0.2008,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,5,7.93,79.3,3.122,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,50,8.77,87.7,3.4528,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,95,9.6,96.0,3.7795,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,mean,,4.862,48.62,1.9142,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,std_dev,,0.373,3.73,0.1469,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,5,4.248,42.48,1.6724,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,50,4.862,48.62,1.9142,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,25-29,415,percentile,95,5.476,54.76,2.1559,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,mean,,17.45,174.5,6.8701,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,std_dev,,0.76,7.6,0.2992,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,5,16.21,162.1,6.3819,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,50,17.45,174.5,6.8701,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,95,18.7,187.0,7.3622,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,mean,,9.99,99.9,3.9331,SD estimated from overall female PL SD; source table cell not clearly legible
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,std_dev,,0.56,5.6,0.2205,SD estimated from overall female PL SD; source table cell not clearly legible
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,5,9.08,90.8,3.5748,SD estimated from overall female PL SD; source table cell not clearly legible
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,50,10.0,100.0,3.937,SD estimated from overall female PL SD; source table cell not clearly legible
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,95,10.93,109.3,4.3031,SD estimated from overall female PL SD; source table cell not clearly legible
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,mean,,7.74,77.4,3.0472,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,std_dev,,0.54,5.4,0.2126,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,5,6.86,68.6,2.7008,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,50,7.74,77.4,3.0472,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,95,8.63,86.3,3.3976,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,mean,,4.58,45.8,1.8031,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,std_dev,,0.36,3.6,0.1417,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,5,3.988,39.88,1.5701,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,50,4.58,45.8,1.8031,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand grip diameter,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,female,25-29,141,percentile,95,5.172,51.72,2.0362,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,mean,,18.87,188.7,7.4291,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,std_dev,,0.82,8.2,0.3228,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,5,17.51,175.1,6.8937,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,50,18.87,188.7,7.4291,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,95,20.22,202.2,7.9606,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,mean,,10.79,107.9,4.248,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,std_dev,,0.58,5.8,0.2283,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,5,9.84,98.4,3.874,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,50,10.79,107.9,4.248,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Palm length,hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,95,11.75,117.5,4.626,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,mean,,8.88,88.8,3.4961,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,std_dev,,0.52,5.2,0.2047,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,5,8.02,80.2,3.1575,
Normative data for the anthropometric hand dimensions of the Mexican population,6,"Rodríguez-Vega G, Rodríguez-Vega DA. (2024). Normative data for the anthropometric hand dimensions of the Mexican population. European Public & Social Innovation Review, 9, 1-15. https://doi.org/10.31637/epsir-2024-932",Hand breadth (metacarpal),hand,"Traditional caliper (dominant hand); HL=wrist stylion to middle-finger tip; PL=wrist crease to middle-finger base crease; HB=metacarpal II-V; HGD=thumb-index grip circle diameter; HL/PL/HB in cm, HGD in mm","General population, Northwest Mexico",Mexico,male,30-34,393,percentile,50,8.88,88.8,3.4961,
